"ID","プラグイン","重大度","確度","分類","不具合内容","ファイル","行","影響","詳細","推奨対応","ステータス","関連BUG.md","確認方法","正常使用時影響","影響条件","修正優先度","切り分け理由","修正日","修正内容","修正ファイル","確認結果"
"PB-0001","appList","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ一覧（カスタム版）/appList/contents/js/config.js","475","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-026","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ一覧（カスタム版）/appList/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0002","appList","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/アプリ一覧（カスタム版）/appList/contents/js/config.js","901","対象DOMが存在しない画面でJavaScriptエラーになる可能性","let select = document.querySelector('[data-role=""app-name""]'); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","修正済み・要確認","BUG-026","DOM取得後の近傍参照確認","条件付き","対象DOMが存在しない画面、設定不整合、フィールド削除/非表示、PC/モバイルのDOM差異がある場合","中","通常の想定DOMが存在する場合は成立するが、取得結果を直接操作しており、要素欠落時にnull参照となる可能性がある。 2026-06-26修正済み・要確認: DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。 実機/Playwright確認は未実施。","2026-06-26","DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。","plugins/アプリ一覧（カスタム版）/appList/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0003","appList","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ一覧（カスタム版）/appList/contents/js/config.js","1086","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-026","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ一覧（カスタム版）/appList/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0004","appList","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/アプリ一覧（カスタム版）/appList/contents/js/desktop.js","252","対象DOMが存在しない画面でJavaScriptエラーになる可能性","const root = document.querySelector(':root') root.style.setProperty(""--color"", treeColor); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","修正済み・要確認","","DOM取得後の近傍参照確認","条件付き","対象DOMが存在しない画面、設定不整合、フィールド削除/非表示、PC/モバイルのDOM差異がある場合","中","通常の想定DOMが存在する場合は成立するが、取得結果を直接操作しており、要素欠落時にnull参照となる可能性がある。 2026-06-26修正済み・要確認: DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。 実機/Playwright確認は未実施。","2026-06-26","DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。","plugins/アプリ一覧（カスタム版）/appList/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0005","appList","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/アプリ一覧（カスタム版）/appList/contents/js/mobile.js","243","対象DOMが存在しない画面でJavaScriptエラーになる可能性","const root = document.querySelector(':root') root.style.setProperty(""--color"", treeColor); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","修正済み・要確認","","DOM取得後の近傍参照確認","条件付き","対象DOMが存在しない画面、設定不整合、フィールド削除/非表示、PC/モバイルのDOM差異がある場合","中","通常の想定DOMが存在する場合は成立するが、取得結果を直接操作しており、要素欠落時にnull参照となる可能性がある。 2026-06-26修正済み・要確認: DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。 実機/Playwright確認は未実施。","2026-06-26","DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。","plugins/アプリ一覧（カスタム版）/appList/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0006","CharacterLimit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/文字制限/CharacterLimit/contents/js/config.js","479","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/文字制限/CharacterLimit/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0007","CharacterLimit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/文字制限/CharacterLimit/contents/js/desktop.js","425","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/文字制限/CharacterLimit/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0008","CharacterLimit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/文字制限/CharacterLimit/contents/js/mobile.js","425","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/文字制限/CharacterLimit/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0009","ConditionalElapsedTimeAutomaticCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/条件付き経過時間自動計算/ConditionalElapsedTimeAutomaticCalculation/contents/js/config.js","173","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/条件付き経過時間自動計算/ConditionalElapsedTimeAutomaticCalculation/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0010","ConditionalElapsedTimeAutomaticCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/条件付き経過時間自動計算/ConditionalElapsedTimeAutomaticCalculation/contents/js/desktop.js","204","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/条件付き経過時間自動計算/ConditionalElapsedTimeAutomaticCalculation/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0011","ConditionalElapsedTimeAutomaticCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/条件付き経過時間自動計算/ConditionalElapsedTimeAutomaticCalculation/contents/js/mobile.js","204","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/条件付き経過時間自動計算/ConditionalElapsedTimeAutomaticCalculation/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0012","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/config.js","509","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0013","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/config.js","732","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0014","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/config.js","742","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0015","CrossAppRecordSync","Medium","Low","添付ファイル","添付ファイル存在確認漏れの可能性","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/desktop.js","679","添付ファイルなしのレコードで例外になる可能性",".fileKey 近傍で添付ファイル配列の存在確認が確認できない。","添付ファイル配列のlength確認を行う。","修正済み・要確認","","添付ファイル関連語と配列参照確認","条件付き","添付ファイルが未設定、空配列、またはfileKeyが存在しないレコードを処理した場合","中","添付ファイルが存在する通常データでは成立するが、添付なしデータで配列/キー参照が失敗する可能性がある。 2026-06-26修正済み・要確認: 添付ファイル配列の存在確認を追加し、空配列または未設定時は空配列を返すようにした。 実機/Playwright確認は未実施。","2026-06-26","添付ファイル配列の存在確認を追加し、空配列または未設定時は空配列を返すようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0016","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/desktop.js","705","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0017","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/desktop.js","716","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0018","CrossAppRecordSync","Medium","Low","添付ファイル","添付ファイル存在確認漏れの可能性","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/mobile.js","692","添付ファイルなしのレコードで例外になる可能性",".fileKey 近傍で添付ファイル配列の存在確認が確認できない。","添付ファイル配列のlength確認を行う。","修正済み・要確認","","添付ファイル関連語と配列参照確認","条件付き","添付ファイルが未設定、空配列、またはfileKeyが存在しないレコードを処理した場合","中","添付ファイルが存在する通常データでは成立するが、添付なしデータで配列/キー参照が失敗する可能性がある。 2026-06-26修正済み・要確認: 添付ファイル配列の存在確認を追加し、空配列または未設定時は空配列を返すようにした。 実機/Playwright確認は未実施。","2026-06-26","添付ファイル配列の存在確認を追加し、空配列または未設定時は空配列を返すようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0019","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/mobile.js","718","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0020","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/mobile.js","729","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/アプリ間レコード同期/CrossAppRecordSync/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0021","DateSplit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/日付分割/DateSplit/contents/js/config.js","132","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/日付分割/DateSplit/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
