"ID","プラグイン","重大度","確度","分類","不具合内容","ファイル","行","影響","詳細","推奨対応","ステータス","関連BUG.md","確認方法","正常使用時影響","影響条件","修正優先度","切り分け理由","修正日","修正内容","修正ファイル","確認結果"
"PB-0022","DateSplit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/日付分割/DateSplit/contents/js/desktop.js","157","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/日付分割/DateSplit/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0023","DateSplit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/日付分割/DateSplit/contents/js/mobile.js","156","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/日付分割/DateSplit/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0024","DoubleCheck","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/フィールド重複チェック/DoubleCheck/contents/js/config.js","123","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/フィールド重複チェック/DoubleCheck/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0025","DoubleCheck","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/フィールド重複チェック/DoubleCheck/contents/js/desktop.js","236","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/フィールド重複チェック/DoubleCheck/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0026","DoubleCheck","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/フィールド重複チェック/DoubleCheck/contents/js/mobile.js","236","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-003","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/フィールド重複チェック/DoubleCheck/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0027","FieldHidden","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/非表示/FieldHidden/contents/js/config.js","210","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/非表示/FieldHidden/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0028","FieldHidden","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/非表示/FieldHidden/contents/js/desktop.js","174","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-011; BUG-012; BUG-022","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/非表示/FieldHidden/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0029","FieldHidden","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/非表示/FieldHidden/contents/js/mobile.js","106","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/非表示/FieldHidden/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0030","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/端数計算/FractionCalculation/contents/js/config.js","148","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/端数計算/FractionCalculation/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0031","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/端数計算/FractionCalculation/contents/js/config.js","567","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/端数計算/FractionCalculation/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0032","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/端数計算/FractionCalculation/contents/js/desktop.js","323","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/端数計算/FractionCalculation/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0033","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/端数計算/FractionCalculation/contents/js/mobile.js","323","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-009","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/端数計算/FractionCalculation/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0034","FuriganaAutoInput","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/ふりがな自動入力/FuriganaAutoInput/contents/js/config.js","155","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/ふりがな自動入力/FuriganaAutoInput/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0035","FuriganaAutoInput","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/ふりがな自動入力/FuriganaAutoInput/contents/js/desktop.js","320","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/ふりがな自動入力/FuriganaAutoInput/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0036","FuriganaAutoInput","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/ふりがな自動入力/FuriganaAutoInput/contents/js/mobile.js","319","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/ふりがな自動入力/FuriganaAutoInput/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0037","GetWeek","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/日付曜日取得/GetWeek/contents/js/config.js","121","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/日付曜日取得/GetWeek/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0038","GetWeek","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/日付曜日取得/GetWeek/contents/js/desktop.js","154","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/日付曜日取得/GetWeek/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0039","GetWeek","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/日付曜日取得/GetWeek/contents/js/mobile.js","154","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/日付曜日取得/GetWeek/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0040","InputHintSetting","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/入力ヒント設定/InputHintSetting/contents/js/config.js","255","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/入力ヒント設定/InputHintSetting/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0041","InputHintSetting","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/入力ヒント設定/InputHintSetting/contents/js/desktop.js","174","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-016","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/入力ヒント設定/InputHintSetting/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0042","InputHintSetting","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/入力ヒント設定/InputHintSetting/contents/js/mobile.js","174","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-006","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/入力ヒント設定/InputHintSetting/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
