"ID","プラグイン","重大度","確度","分類","不具合内容","ファイル","行","影響","詳細","推奨対応","ステータス","関連BUG.md","確認方法","正常使用時影響","影響条件","修正優先度","切り分け理由","修正日","修正内容","修正ファイル","確認結果"
"PB-0043","KeywordLookup","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/キーワードルックアップ/KeywordLookup/contents/js/config.js","725","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/キーワードルックアップ/KeywordLookup/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0044","KeywordLookup","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/キーワードルックアップ/KeywordLookup/contents/js/desktop.js","541","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/キーワードルックアップ/KeywordLookup/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0045","KeywordLookup","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/キーワードルックアップ/KeywordLookup/contents/js/mobile.js","541","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/キーワードルックアップ/KeywordLookup/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0046","RecordRockb","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/レコードロック確認/RecordRockb/contents/js/config.js","79","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/レコードロック確認/RecordRockb/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0047","RecordRockb","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/レコードロック確認/RecordRockb/contents/js/desktop.js","92","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-025","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/レコードロック確認/RecordRockb/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0048","RecordRockb","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/レコードロック確認/RecordRockb/contents/js/mobile.js","93","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/レコードロック確認/RecordRockb/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0049","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/退職者チェック/RetirementConversion/contents/js/config.js","222","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/退職者チェック/RetirementConversion/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0050","RetirementConversion","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","34","対象DOMが存在しない画面でJavaScriptエラーになる可能性","var space = kintone.app.getHeaderMenuSpaceElement(); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","修正済み・要確認","BUG-014; BUG-019","DOM取得後の近傍参照確認","条件付き","対象DOMが存在しない画面、設定不整合、フィールド削除/非表示、PC/モバイルのDOM差異がある場合","中","通常の想定DOMが存在する場合は成立するが、取得結果を直接操作しており、要素欠落時にnull参照となる可能性がある。 2026-06-26修正済み・要確認: DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。 実機/Playwright確認は未実施。","2026-06-26","DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0051","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","126","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-014; BUG-019","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0052","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","182","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-014; BUG-019","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0053","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","258","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-014; BUG-019","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/退職者チェック/RetirementConversion/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0054","RetirementConversion","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","34","対象DOMが存在しない画面でJavaScriptエラーになる可能性","var space = kintone.mobile.app.getHeaderSpaceElement(); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","修正済み・要確認","","DOM取得後の近傍参照確認","条件付き","対象DOMが存在しない画面、設定不整合、フィールド削除/非表示、PC/モバイルのDOM差異がある場合","中","通常の想定DOMが存在する場合は成立するが、取得結果を直接操作しており、要素欠落時にnull参照となる可能性がある。 2026-06-26修正済み・要確認: DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。 実機/Playwright確認は未実施。","2026-06-26","DOM取得結果の存在確認を追加し、対象要素が存在しない場合にnull参照しないようにした。","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0055","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","126","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0056","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","182","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0057","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","258","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/退職者チェック/RetirementConversion/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0058","StringConcatenation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/文字列結合/StringConcatenation/contents/js/config.js","163","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/文字列結合/StringConcatenation/contents/js/config.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0059","StringConcatenation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/文字列結合/StringConcatenation/contents/js/desktop.js","189","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","BUG-021","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/文字列結合/StringConcatenation/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0060","StringConcatenation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/文字列結合/StringConcatenation/contents/js/mobile.js","189","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/文字列結合/StringConcatenation/contents/js/mobile.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0061","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/サブテーブル自動ソート/SubTableAutosort/contents/js/desktop.js","21","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/サブテーブル自動ソート/SubTableAutosort/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0062","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/サブテーブル自動ソート/SubTableAutosort/contents/js/desktop.js","204","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/サブテーブル自動ソート/SubTableAutosort/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
"PB-0063","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/サブテーブル自動ソート/SubTableAutosort/contents/js/desktop.js","244","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","修正済み・要確認","","kintone.api近傍catch確認","条件付き","API通信失敗、権限不足、対象アプリ/フォーム情報取得失敗、kintone APIレスポンスエラー時","中","通常のAPI成功時は処理継続するが、kintone.api呼び出し近傍にcatchまたはtry-catchが確認できず、エラー条件で停止または通知漏れになる可能性がある。 2026-06-26修正済み・要確認: kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。 実機/Playwright確認は未実施。","2026-06-26","kintone REST API呼び出しをローカルのcallKintoneApiラッパー経由に変更し、API失敗時にエラー通知して再throwするようにした。","plugins/サブテーブル自動ソート/SubTableAutosort/contents/js/desktop.js","対象元ソースJSのnode --check成功。git diff確認予定。kintone実機/Playwright確認は未実施。"
